epoch,train_loss,val_loss,lr
1,0.00014265429827046758,1.233130237920932e-06,0.001
2,1.283225774826743e-05,3.6528832083604357e-06,0.0009972609476841367
3,3.0291128404490835e-05,5.436240854805874e-06,0.0009890738003669028
4,5.3555032727493585e-05,0.00010287180748491664,0.0009755282581475768
5,5.0493088023284915e-05,1.1314466306089344e-06,0.0009567727288213003
6,5.6264046647119275e-05,0.00017858493902167538,0.0009330127018922195
7,8.642963686267627e-05,3.4291734436919796e-05,0.0009045084971874739
8,4.543248600859833e-05,9.287936268975727e-07,0.0008715724127386972
9,3.3797829873106e-05,1.753626116851592e-05,0.0008345653031794292
10,3.095002440226786e-05,1.4814618083391906e-05,0.0007938926261462366
11,2.838058106036101e-05,0.00011763030101974437,0.00075
12,4.0458305837313745e-05,0.00012647975381696597,0.0007033683215379003
13,5.369419347636057e-06,1.6904822541796705e-08,0.0006545084971874739
14,6.4203765413480935e-09,2.9959245986810323e-09,0.0006039558454088797
15,6.143755327957559e-09,5.277340353604387e-08,0.0005522642316338269
16,6.234901287017364e-09,2.2999891435837583e-09,0.0005000000000000002
17,2.33496444133135e-09,1.3345397339298293e-09,0.0004477357683661734
18,1.4469782954714432e-09,6.882249306040811e-10,0.00039604415459112036
19,1.45674093688357e-09,1.2074868171313424e-09,0.0003454915028125264
20,1.0483582084878704e-09,6.001848041996272e-10,0.0002966316784621
21,6.530916434894928e-10,5.899506421574996e-10,0.00025000000000000017
22,6.106492681584048e-10,5.283592994544117e-10,0.00020610737385376354
23,6.306678390767226e-10,6.623152243659391e-10,0.00016543469682057108
24,5.893373146123861e-10,5.282449672995571e-10,0.00012842758726130298
25,5.160965118528576e-10,4.6392509170205265e-10,9.549150281252637e-05
26,4.5845967803913626e-10,4.559888074767704e-10,6.698729810778068e-05
27,4.685377982771219e-10,4.5444950298560716e-10,4.322727117869953e-05
28,4.3311939462809695e-10,4.450011765327888e-10,2.447174185242324e-05
29,4.2612551502629523e-10,4.792130594254151e-10,1.092619963309716e-05
30,4.248487070658602e-10,4.4599580799331573e-10,2.7390523158633003e-06
